Unnamed: 0,Store,Date,IsHoliday,Dept,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size
422286,45,2012-07-20,0,11.0,15193.89,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422287,45,2012-07-20,0,46.0,14364.96,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422288,45,2012-07-20,0,13.0,27175.82,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422289,45,2012-07-20,0,55.0,3974.83,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422290,45,2012-07-20,0,40.0,36853.15,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422291,45,2012-07-20,0,8.0,32324.25,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422292,45,2012-07-20,0,81.0,13679.85,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422293,45,2012-07-20,0,28.0,355.93,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422294,45,2012-07-20,0,16.0,20083.81,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422295,45,2012-07-20,0,42.0,4715.55,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422296,45,2012-07-20,0,10.0,13951.38,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422297,45,2012-07-20,0,25.0,6601.56,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422298,45,2012-07-20,0,12.0,3839.34,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422299,45,2012-07-20,0,27.0,784.57,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422300,45,2012-07-20,0,41.0,598.94,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422301,45,2012-07-20,0,92.0,45827.51,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422302,45,2012-07-20,0,80.0,835.38,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422303,45,2012-07-20,0,29.0,4149.15,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422304,45,2012-07-20,0,44.0,2324.07,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422305,45,2012-07-20,0,91.0,16905.09,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422306,45,2012-07-20,0,87.0,7876.29,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422307,45,2012-07-20,0,60.0,171.0,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422308,45,2012-07-20,0,23.0,21423.7,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422309,45,2012-07-20,0,58.0,1275.0,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422310,45,2012-07-20,0,59.0,184.98,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422311,45,2012-07-20,0,79.0,15006.91,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422312,45,2012-07-20,0,5.0,9767.97,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422313,45,2012-07-20,0,1.0,11000.62,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422314,45,2012-07-20,0,3.0,13570.39,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422315,45,2012-07-20,0,24.0,4010.36,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422316,45,2012-07-20,0,22.0,6975.7,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422317,45,2012-07-20,0,30.0,3256.98,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422318,45,2012-07-20,0,82.0,13202.74,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422319,45,2012-07-20,0,6.0,1946.5,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422320,45,2012-07-20,0,36.0,706.0,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422321,45,2012-07-20,0,19.0,1443.09,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422322,45,2012-07-20,0,72.0,27628.73,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422323,45,2012-07-20,0,17.0,9428.27,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422324,45,2012-07-20,0,35.0,2495.26,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422325,45,2012-07-20,0,33.0,5460.72,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422326,45,2012-07-20,0,90.0,23035.84,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422327,45,2012-07-20,0,9.0,17199.49,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422328,45,2012-07-20,0,38.0,59375.11,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422329,45,2012-07-20,0,4.0,24852.21,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422330,45,2012-07-20,0,67.0,5192.12,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422331,45,2012-07-20,0,95.0,53136.34,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422332,45,2012-07-20,0,21.0,3782.86,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422333,45,2012-07-20,0,34.0,15274.85,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422334,45,2012-07-20,0,98.0,845.3,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422335,45,2012-07-20,0,85.0,1560.22,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422336,45,2012-07-20,0,56.0,1135.96,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422337,45,2012-07-20,0,94.0,3618.52,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422338,45,2012-07-20,0,7.0,16857.87,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
422339,45,2012-07-20,0,97.0,6902.68,78.89,3.567,6682.75,24.24,12.83,2249.85,2288.3,191.1670428,8.684,2,118221
